Date,Open,High,Low,Close,Volume
2018-01-01 00:00:00,13715.65000000,13818.55000000,13155.38000000,13570.35000000,2978.41964300
2018-01-01 08:00:00,13569.98000000,13735.24000000,12750.00000000,13247.00000000,3151.68908400
2018-01-01 16:00:00,13247.00000000,13599.70000000,12940.00000000,13380.00000000,2479.80711700
2018-01-02 00:00:00,13382.16000000,13850.00000000,12890.02000000,13343.00000000,5345.84897900
2018-01-02 08:00:00,13343.01000000,13894.86000000,13302.59000000,13690.03000000,5962.06218200
2018-01-02 16:00:00,13690.02000000,15473.49000000,13503.00000000,14675.11000000,8770.18095000
2018-01-03 00:00:00,14690.00000000,15307.56000000,14660.00000000,15170.00000000,6515.53565700
2018-01-03 08:00:00,15170.00000000,15172.99000000,14150.00000000,15033.77000000,6285.53706700
2018-01-03 16:00:00,15045.00000000,15130.00000000,14671.00000000,14919.51000000,3104.59491500
2018-01-04 00:00:00,14919.51000000,15280.00000000,14649.99000000,14748.00000000,5902.43608800
2018-01-04 08:00:00,14734.07000000,14800.00000000,13918.04000000,14353.01000000,8300.38323600
2018-01-04 16:00:00,14367.99000000,15100.08000000,14238.01000000,15059.54000000,7126.83025000
2018-01-05 00:00:00,15059.56000000,15200.00000000,14600.00000000,14920.14000000,7059.47346900
2018-01-05 08:00:00,14916.95000000,16350.00000000,14880.00000000,16087.72000000,8016.12579700
2018-01-05 16:00:00,16094.99000000,17176.24000000,16087.73000000,16960.39000000,8175.89185900
2018-01-06 00:00:00,16960.39000000,17099.99000000,16288.00000000,16518.00000000,6411.69407200
2018-01-06 08:00:00,16500.18000000,16750.01000000,16011.21000000,16556.22000000,6206.95868200
2018-01-06 16:00:00,16550.04000000,17143.13000000,16501.75000000,17069.79000000,5952.80475400
2018-01-07 00:00:00,17069.79000000,17099.96000000,16400.00000000,16746.99000000,5927.86785100
2018-01-07 08:00:00,16747.00000000,16886.75000000,16300.00000000,16439.65000000,2688.75798500
2018-01-07 16:00:00,16439.64000000,16500.00000000,15610.00000000,16150.03000000,3876.49972200
2018-01-08 00:00:00,16218.85000000,16322.30000000,15476.00000000,15865.00000000,6231.57670100
2018-01-08 08:00:00,15864.99000000,15869.97000000,12812.00000000,14299.98000000,13639.56021700
2018-01-08 16:00:00,14297.90000000,15270.99000000,14238.32000000,14902.54000000,6729.47299400
2018-01-09 00:00:00,14902.54000000,15500.00000000,14601.00000000,15062.28000000,4362.42769600
2018-01-09 08:00:00,15062.28000000,15300.00000000,14011.05000000,14654.96000000,6059.85633800
2018-01-09 16:00:00,14655.01000000,14998.62000000,14125.00000000,14400.00000000,3892.72021900
2018-01-10 00:00:00,14401.00000000,14480.00000000,13750.00000000,13979.00000000,5559.77306200
2018-01-10 08:00:00,13978.95000000,14490.00000000,13131.31000000,14399.95000000,8142.07144600
2018-01-10 16:00:00,14399.95000000,14955.66000000,14172.95000000,14907.09000000,3709.15714700
2018-01-11 00:00:00,14940.00000000,14968.68000000,11400.00000000,13530.42000000,17848.83343900
2018-01-11 08:00:00,13530.42000000,14400.00000000,13041.00000000,13958.08000000,8121.72523300
2018-01-11 16:00:00,13950.05000000,14190.00000000,12511.00000000,13238.78000000,7584.16507900
2018-01-12 00:00:00,13238.76000000,13966.63000000,12500.00000000,13722.04000000,7051.17171500
2018-01-12 08:00:00,13722.04000000,14109.78000000,13301.99000000,13411.79000000,5074.66745500
2018-01-12 16:00:00,13411.79000000,13900.00000000,13222.00000000,13740.01000000,4291.32296700
2018-01-13 00:00:00,13749.95000000,14320.00000000,13706.15000000,14255.09000000,4954.22072200
2018-01-13 08:00:00,14250.00000000,14580.00000000,13974.94000000,14241.26000000,4248.60314400
2018-01-13 16:00:00,14257.84000000,14357.00000000,13923.18000000,14210.00000000,3018.68466200
2018-01-14 00:00:00,14210.00000000,14339.50000000,13359.07000000,13590.00000000,3766.34112400
2018-01-14 08:00:00,13590.00000000,13720.00000000,12569.20000000,12869.89000000,9217.64831300
2018-01-14 16:00:00,12869.82000000,13600.80000000,12690.01000000,13474.99000000,4033.90489200
2018-01-15 00:00:00,13477.98000000,13736.40000000,13215.56000000,13355.00000000,4077.56236400
2018-01-15 08:00:00,13346.34000000,14249.99000000,13147.79000000,13990.01000000,6786.23589200
2018-01-15 16:00:00,13990.01000000,14100.00000000,13340.64000000,13539.93000000,3788.29644900
2018-01-16 00:00:00,13500.00000000,13542.93000000,12222.00000000,12347.32000000,10504.54263500
2018-01-16 08:00:00,12340.00000000,12488.00000000,10620.88000000,11964.02000000,25480.12224600
2018-01-16 16:00:00,11963.90000000,11988.47000000,9035.00000000,10900.00000000,27416.50429400
2018-01-17 00:00:00,10899.99000000,11488.88000000,9777.00000000,10765.01000000,21121.98961500
