Date,Open,High,Low,Close,Volume,ATR,MACD
2018-01-01 00:00:00,13715.65,13818.55,13155.38,13570.35,2978.419643,0.0,0.0
2018-01-01 08:00:00,13569.98,13735.24,12750.0,13247.0,3151.689084,0.0,-25.79430199430135
2018-01-01 16:00:00,13247.0,13599.7,12940.0,13380.0,2479.807117,0.0,-35.099874189332695
2018-01-02 00:00:00,13382.16,13850.0,12890.02,13343.0,5345.848979,0.0,-44.94213304083132
2018-01-02 08:00:00,13343.01,13894.86,13302.59,13690.03,5962.062182,0.0,-24.45783860208212
2018-01-02 16:00:00,13690.02,15473.49,13503.0,14675.11,8770.18095,0.0,70.45171218157884
2018-01-03 00:00:00,14690.0,15307.56,14660.0,15170.0,6515.535657,0.0,183.48658288465413
2018-01-03 08:00:00,15170.0,15172.99,14150.0,15033.77,6285.537067,0.0,259.08830115191085
2018-01-03 16:00:00,15045.0,15130.0,14671.0,14919.51,3104.594915,0.0,306.25308553620744
2018-01-04 00:00:00,14919.51,15280.0,14649.99,14748.0,5902.436088,0.0,326.0337788796169
2018-01-04 08:00:00,14734.07,14800.0,13918.04,14353.01,8300.383236,0.0,306.3068146457681
2018-01-04 16:00:00,14367.99,15100.08,14238.01,15059.54,7126.83025,0.0,343.72190745804437
2018-01-05 00:00:00,15059.56,15200.0,14600.0,14920.14,7059.473469,0.0,357.9984399182813
2018-01-05 08:00:00,14916.95,16350.0,14880.0,16087.72,8016.125797,886.0314285714285,458.24428797210567
2018-01-05 16:00:00,16094.99,17176.24,16087.73,16960.39,8175.891859,900.4948979591837,601.1770260430822
2018-01-06 00:00:00,16960.39,17099.99,16288.0,16518.0,6411.694072,894.1731195335278,671.0199743774047
2018-01-06 08:00:00,16500.18,16750.01,16011.21,16556.22,6206.958682,883.0750395668472,721.1421706578294
2018-01-06 16:00:00,16550.04,17143.13,16501.75,17069.79,5952.804754,865.8111081692152,793.1621002717475
2018-01-07 00:00:00,17069.79,17099.96,16400.0,16746.99,5927.867851,853.9646004428427,814.7986593678743
2018-01-07 08:00:00,16747.0,16886.75,16300.0,16439.65,2688.757985,834.8778432683539,797.9477736526678
2018-01-07 16:00:00,16439.64,16500.0,15610.0,16150.03,3876.499722,838.8151401777571,752.5485010991288
2018-01-08 00:00:00,16218.85,16322.3,15476.0,15865.0,6231.576701,839.3497730222031,685.665783274002
2018-01-08 08:00:00,15864.99,15869.97,12812.0,14299.98,13639.560217,997.82264637776,500.6060381600237
2018-01-08 16:00:00,14297.9,15270.99,14238.32,14902.54,6729.472994,1000.3117430650628,397.9787616387057
2018-01-09 00:00:00,14902.54,15500.0,14601.0,15062.28,4362.427696,993.0751899889868,325.78019727996434
2018-01-09 08:00:00,15062.28,15300.0,14011.05,14654.96,6059.856338,1014.2091049897736,233.00901212961253
