Date,Open,High,Low,Close,Volume
2020-04-23 00:00,7138.29,7158.7,7108.0,7122.21,81.59
2020-04-23 01:00,7138.29,7158.7,7108.0,7122.21,175.45
2020-04-23 02:00,7138.29,7158.7,7108.0,7122.21,131.63
2020-04-23 03:00,7138.29,7158.7,7108.0,7122.21,227.12
2020-04-23 04:00,7138.29,7158.7,7108.0,7122.21,60.48
2020-04-23 05:00,7138.29,7158.7,7108.0,7122.21,90.99
2020-04-23 06:00,7138.29,7158.7,7108.0,7122.21,452.96
2020-04-23 07:00,7138.29,7158.7,7108.0,7122.21,87.46
2020-04-23 08:00,7065.05,7108.19,7055.00,7091.22,161.56
2020-04-23 09:00,7087.35,7111.38,7056.42,7111.38,203.53
2020-04-23 10:00,7106.26,7113.61,7068.72,7074.57,124.44
2020-04-23 11:00,7075.06,7155.63,7068.48,7136.87,251.90
2020-04-23 12:00,7137.80,7199.00,7118.61,7186.21,1500.24
2020-04-23 13:00,7186.84,7274.37,7159.81,7251.10,1605.26
2020-04-23 14:00,7257.68,7756.69,7257.68,7546.00,3734.63
2020-04-23 15:00,7549.56,7566.55,7473.00,7538.64,1554.19
2020-04-23 16:00,7538.64,7618.13,7489.89,7508.25,768.85
2020-04-23 17:00,7511.62,7564.72,7511.62,7562.09,965.39
2020-04-23 18:00,7563.40,7578.25,7517.45,7545.99,235.44
2020-04-23 19:00,7545.01,7550.73,7515.50,7529.15,377.48
2020-04-23 20:00,7528.52,7570.77,7528.52,7540.00,124.17
2020-04-23 21:00,7540.00,7619.35,7537.95,7600.71,874.26
2020-04-23 22:00,7607.83,7611.96,7550.01,7573.15,176.03
2020-04-23 23:00,7573.59,7574.48,7447.70,7484.58,814.50
2020-04-24 00:00,7494.20,7528.52,7475.89,7494.73,91.67
2020-04-24 01:00,7496.05,7526.35,7466.07,7489.40,88.52
2020-04-24 02:00,7492.06,7536.84,7480.91,7527.40,69.95
2020-04-24 03:00,7524.14,7564.72,7507.45,7530.00,128.69
2020-04-24 04:00,7530.00,7549.35,7501.80,7546.83,79.90
2020-04-24 05:00,7550.88,7552.31,7497.06,7497.06,126.43
2020-04-24 06:00,7495.00,7543.52,7492.49,7540.90,160.44
2020-04-24 07:00,7536.00,7594.30,7526.90,7582.24,525.05
2020-04-24 08:00,7582.72,7593.38,7524.69,7563.36,416.60
2020-04-24 09:00,7558.42,7612.91,7549.87,7581.05,809.16
2020-04-24 10:00,7575.70,7580.00,7500.00,7528.42,846.24
2020-04-24 11:00,7528.68,7600.00,7478.26,7490.90,792.68
2020-04-24 12:00,7490.90,7531.00,7455.17,7507.46,242.29
2020-04-24 13:00,7507.46,7520.53,7478.18,7478.18,238.16
2020-04-24 14:00,7478.00,7511.20,7391.57,7501.28,674.72
2020-04-24 15:00,7501.27,7528.52,7486.43,7516.08,502.46
2020-04-24 16:00,7517.00,7538.97,7484.17,7521.90,213.74
2020-04-24 17:00,7528.07,7528.96,7501.32,7517.66,109.37
2020-04-24 18:00,7511.86,7554.12,7511.86,7520.61,461.91
2020-04-24 19:00,7526.80,7536.26,7504.29,7532.66,274.54
2020-04-24 20:00,7532.67,7558.00,7523.68,7537.50,106.25
2020-04-24 21:00,7537.48,7558.00,7500.00,7501.50,116.15
