2021-10-17 08:45:09, 3, 960.0380682037785, 181, -0.0008744583411607891, 461.91826745605476
2021-10-17 08:45:10, 4, 988.9724677932168, 170, -0.008387737369164825, 656.8713189086914
2021-10-17 08:45:12, 5, 1025.2413528251843, 154, -0.0039247086904943, 386.4449093933105
2021-10-17 08:45:13, 6, 1096.6282412800497, 157, -0.025754256691783668, 2135.9378636474607
2021-10-17 08:45:24, 14, 1153.9733265912046, 179, -0.006208975214511156, 1855.3280606689452
2021-10-17 08:45:35, 23, 1192.4216583530078, 67, -0.011210136577486991, 7751.300818481445
2021-10-17 08:45:46, 31, 1193.3117355509517, 97, -0.002907025555148721, 2159.3977431640624
2021-10-17 08:45:47, 32, 1237.5362405259275, 105, -0.006127188296057283, 652.7987228393555
2021-10-17 08:46:35, 69, 1258.8030771632937, 41, -0.008240756530314683, 574.1000413513184
2021-10-17 08:47:15, 100, 1400.575707813724, 89, -0.013079699516296386, 8714.363355957032
2021-10-17 09:08:52, 1100, 1411.6586533767027, 55, -0.004070010177791118, 2762.0474447021484
2021-10-17 09:11:10, 1205, 1418.6984751419, 41, -0.009322491932660342, 4741.191878173829
