Date,Open,High,Low,Close,Volume,kc_mb,kc_hb,kc_lb,kc_pb,kc_wb,kc_hb_i,kc_lb_i
2018-01-01 00:00:00,13715.65,13818.55,13155.38,13570.35,2978.419643,,14177.93,12851.589999999998,0.5419123301717516,,0.0,0.0
2018-01-01 08:00:00,13569.98,13735.24,12750.0,13247.0,3151.689084,,14203.625,12555.215,0.41966804375125116,,0.0,0.0
2018-01-01 16:00:00,13247.0,13599.7,12940.0,13380.0,2479.807117,,14124.505555555557,12585.765555555556,0.5161589641163832,,0.0,0.0
2018-01-02 00:00:00,13382.16,13850.0,12890.02,13343.0,5345.848979,,14173.625833333334,12539.580833333333,0.49167505586851434,,0.0,0.0
2018-01-02 08:00:00,13343.01,13894.86,13302.59,13690.03,5962.062182,,14183.186666666666,12639.042666666666,0.6806277998252328,,0.0,0.0
2018-01-02 16:00:00,13690.02,15473.49,13503.0,14675.11,8770.18095,13601.017777777779,14572.826111111111,12629.209444444445,1.0526255463039982,14.290229587393624,1.0,0.0
2018-01-03 00:00:00,14690.0,15307.56,14660.0,15170.0,6515.535657,13856.200000000003,14825.406666666668,12886.993333333334,1.1777708228723143,13.989501691180365,1.0,0.0
2018-01-03 08:00:00,15170.0,15172.99,14150.0,15033.77,6285.537067,14113.117777777778,15088.616111111112,13137.619444444446,0.9718881574488705,13.823994792551542,0.0,0.0
2018-01-03 16:00:00,15045.0,15130.0,14671.0,14919.51,3104.594915,14379.829444444445,15321.87777777778,13437.781111111113,0.7864399502974302,13.102357534529554,0.0,0.0
2018-01-04 00:00:00,14919.51,15280.0,14649.99,14748.0,5902.436088,14635.105555555556,15522.158888888887,13748.05222222222,0.5636345303050808,12.12226765247489,0.0,0.0
2018-01-04 08:00:00,14734.07,14800.0,13918.04,14353.01,8300.383236,14756.415,15691.75,13821.080000000002,0.28435266508790913,12.676995056048494,0.0,0.0
2018-01-04 16:00:00,14367.99,15100.08,14238.01,15059.54,7126.83025,14797.86111111111,15548.459444444445,14047.26277777778,0.6743135291326846,10.144686825986478,0.0,0.0
2018-01-05 00:00:00,15059.56,15200.0,14600.0,14920.14,7059.473469,14774.671111111109,15517.342777777778,14031.999444444444,0.5979362047981422,10.053308951265251,0.0,0.0
2018-01-05 08:00:00,14916.95,16350.0,14880.0,16087.72,8016.125797,14939.16888888889,15756.342222222222,14121.995555555555,1.2027585606752818,10.94001064464987,1.0,0.0
2018-01-05 16:00:00,16094.99,17176.24,16087.73,16960.39,8175.891859,15244.938333333334,16167.029999999999,14322.846666666665,1.430195840977488,12.09702061766294,1.0,0.0
2018-01-06 00:00:00,16960.39,17099.99,16288.0,16518.0,6411.694072,15535.382777777779,16487.804444444446,14582.96111111111,1.0158519889941364,12.261322173909187,1.0,0.0
2018-01-06 08:00:00,16500.18,16750.01,16011.21,16556.22,6206.958682,15882.404444444444,16810.966111111113,14953.842777777778,0.8628275750249339,11.69296084751792,0.0,0.0
2018-01-06 16:00:00,16550.04,17143.13,16501.75,17069.79,5952.804754,16233.351111111113,17125.131111111114,15341.57111111111,0.9689715450497249,10.987010554950812,0.0,0.0
2018-01-07 00:00:00,17069.79,17099.96,16400.0,16746.99,5927.867851,16540.396111111113,17448.83611111111,15631.95611111111,0.6137080538554501,10.984501143715057,0.0,0.0
2018-01-07 08:00:00,16747.0,16886.75,16300.0,16439.65,2688.757985,16668.65611111111,17429.887777777778,15907.424444444443,0.3495818545529665,9.133689741901152,0.0,0.0
2018-01-07 16:00:00,16439.64,16500.0,15610.0,16150.03,3876.499722,16559.52666666667,17287.673333333336,15831.38,0.2188089395909254,8.794293234629512,0.0,0.0
2018-01-08 00:00:00,16218.85,16322.3,15476.0,15865.0,6231.576701,16434.93277777778,17168.797777777778,15701.06777777778,0.11169099372651659,8.93055067425992,0.0,0.0
2018-01-08 08:00:00,15864.99,15869.97,12812.0,14299.98,13639.560217,16082.961111111113,17203.354444444445,14962.567777777776,-0.2956942700678525,13.932674780383527,0.0,1.0
2018-01-08 16:00:00,14297.9,15270.99,14238.32,14902.54,6729.472994,15732.804444444446,16918.412777777776,14547.19611111111,0.14985719942176967,15.071799023752483,0.0,0.0
2018-01-09 00:00:00,14902.54,15500.0,14601.0,15062.28,4362.427696,15450.378333333334,16669.16,14231.596666666666,0.3407843078265321,15.776722619629489,0.0,0.0
2018-01-09 08:00:00,15062.28,15300.0,14011.05,14654.96,6059.856338,15135.912222222221,16471.72722222222,13800.09722222222,0.3199779826464662,17.650934814999584,0.0,0.0
2018-01-09 16:00:00,14655.01,14998.62,14125.0,14400.0,3892.720219,14872.778333333334,16205.863333333333,13539.693333333335,0.32267509823704643,17.926509359885333,0.0,0.0
2018-01-10 00:00:00,14401.0,14480.0,13750.0,13979.0,5559.773062,14569.761666666665,15883.463333333333,13256.06,0.27515379569942966,18.033262269103698,0.0,0.0
2018-01-10 08:00:00,13978.95,14490.0,13131.31,14399.95,8142.071446,14516.39,15546.878333333334,13485.901666666667,0.44350251418017045,14.197584018248804,0.0,0.0
2018-01-10 16:00:00,14399.95,14955.66,14172.95,14907.09,3709.157147,14495.492777777778,15484.32111111111,13506.664444444445,0.7081236997097016,13.643252402557158,0.0,0.0
2018-01-11 00:00:00,14940.0,14968.68,11400.0,13530.42,17848.833439,14203.038333333332,15636.813333333334,12769.263333333334,0.2654379755075469,20.189694153469272,0.0,0.0
2018-01-11 08:00:00,13530.42,14400.0,13041.0,13958.08,8121.725233,14060.431111111111,15505.881111111112,12614.981111111112,0.4645954162679055,20.560535997473757,0.0,0.0
2018-01-11 16:00:00,13950.05,14190.0,12511.0,13238.78,7584.165079,13861.328888888887,15441.008888888891,12281.64888888889,0.30295094927805305,22.792619851423584,0.0,0.0
2018-01-12 00:00:00,13238.76,13966.63,12500.0,13722.04,7051.171715,13749.088333333333,15451.54,12046.636666666667,0.49205606424460413,24.764575299719873,0.0,0.0
2018-01-12 08:00:00,13722.04,14109.78,13301.99,13411.79,5074.667455,13682.549444444443,15293.184444444443,12071.914444444445,0.4159463675989771,23.542907797113337,0.0,0.0
2018-01-12 16:00:00,13411.79,13900.0,13222.0,13740.01,4291.322967,13506.233333333335,15099.416666666666,11913.049999999997,0.5733677856701996,23.59182303479629,0.0,0.0
2018-01-13 00:00:00,13749.95,14320.0,13706.15,14255.09,4954.220722,13638.574444444443,14739.286111111112,12537.862777777778,0.7800531575278817,16.14115421153906,0.0,0.0
2018-01-13 08:00:00,14250.0,14580.0,13974.94,14241.26,4248.603144,13716.192222222222,14691.247222222222,12741.137222222222,0.7692503385848891,14.217575609946174,0.0,0.0
2018-01-13 16:00:00,14257.84,14357.0,13923.18,14210.0,3018.684662,13857.881111111114,14625.40611111111,13090.356111111112,0.7293859411021724,11.077090268650156,0.0,0.0
2018-01-14 00:00:00,14210.0,14339.5,13359.07,13590.0,3766.341124,13918.986666666666,14605.478333333333,13232.495,0.2603855351485206,9.864104091868747,0.0,0.0
